SKU,Name,Units,UOM,Price,Mfg,Notes
BRG-1048,Thrust Ball Bearing 51105,442,ea.,107.74,NSK,quarterly order
WSH-1329,Spring Washer 1in,903,pc,0.66,Grainger,replacement
NUT-1250,  Castle Nut M6 ,7107,ea.,2.13,McMaster-Carr,
PMP-1871,Centrifugal Pump 1.5in 7.5HP,3,Pc,5959.99,KSB,replacement
WLD-2123,TIG Rod ER308L 1.0mm x 15kg,51,ea,39.61,Lincoln Electric,
BRG-1004,Deep Groove Ball Bearing 30208,442,Pc,104.12,Timken,standard
SLV-1913,Shaft Sleeve 100mm,16,EA,59.94,Martin Sprocket,check inventory first
WSH-1392,Copper Washer M10,9807,EA,0.14,Grainger,
WLD-2112,Welding Rod E7018 1.2mm x 15kg,77,ea,33.84,ESAB,check inventory first
BLT-1121,Carriage Bolt M8x30,2448,pc,3.41,Nord-Lock,quarterly order
ORG-2032,V-Ring Seal 25mm ID,451,pcs,24.54,Trelleborg,approved by mgr
NUT-1270,Weld Nut M6,8362,pcs,2.54,Fastenal,
FLG-1534,Socket Weld Flange 4in 300#,74,ea.,254.59,Bonney Forge,
NUT-1215,Lock Nut Nylon Insert M20,1930,ea.,1.29,Grainger,
SLV-1948,Mechanical Seal 40mm,31,pc,184.59,Timken,
PIP-1437,PVC Pipe SCH40 3in x 6m,6,PCS,202.57,US Steel,new requirement
BRG-1020,Angular Contact Bearing 6205,187,Pc,99.70,NTN,need by Friday
PMP-1889,Peristaltic Pump 1.5in 7.5HP,5,ea.,601.15,Xylem,backorder ok
MTR-1841,Servo Motor 1HP,6,PCS,2991.42,Siemens,replacement
FLT-1806,Water Filter Cartridge 100 Micron,65,ea,58.28,Pall Corporation,backorder ok
PMP-1874,Centrifugal Pump 3in 20HP,1,pcs.,4597.79,Xylem,approved by mgr
FLT-1795,  Hydraulic Filter Element 1 Micron ,46,pcs.,149.28,Donaldson,check inventory first
WLD-2126,Flux Core Wire E71T-1 3.2mm x 5kg,44,ea.,21.24,Bohler,urgent
WLD-2106,Welding Rod E6010 1.2mm x 15kg,84,pc,25.77,Miller,
VLV-1558,Ball Valve Full Port 4in,16,PCS,68.15,Flowserve,see attached spec
ELB-1497,Reducing Elbow 3/4in,144,PCS,67.70,Victaulic,backorder ok
ELB-1497,Reducing Elbow 3/4in,144,PCS,67.70,Victaulic,backorder ok
ORG-2034,v-ring seal 40mm id,69,PCS,38.00,Trelleborg,
BLT-1151,u-bolt m8x30,236,ea,3.04,Nord-Lock,backorder ok
ELC-2037,Circuit Breaker 10A,30,pcs.,121.92,Schneider Electric,standard
ELC-2072,TERMINAL BLOCK 32A,20,ea,366.25,Allen-Bradley,standard
LUB-1964,gear oil 400g,46,pcs.,55.96,Total,check inventory first
HSE-1730,Hydraulic Hose 1/4in x 1m,45,pc,143.47,Parker,approved by mgr
ELB-1476,Elbow 45deg 2in,133,EA,68.84,Victaulic,standard
BRG-1022,Angular Contact Bearing 6310,227,EA,39.73,NSK,
GSK-1634,Spiral Wound Gasket 3in 150#,97,ea,7.68,Lamons,backorder ok
HSE-1773,QUICK DISCONNECT COUPLING 3/4IN X 3M,44,ea,594.83,Parker,new requirement
NUT-1222,Flange Nut M10,1667,ea,1.58,Fastenal,
FLG-1526,Blind Flange 4in 300#,42,pcs,270.56,Coastal Flange,new requirement
WSH-1337,Belleville Washer 5/8in,1706,ea.,0.62,McMaster-Carr,
FLG-1507,Weld Neck Flange 4in 150#,100,pcs,16.25,Georg Fischer,approved by mgr
WSH-1328,Spring Washer 3/4in,4326,pcs,1.24,Fastenal,
PRS-1714,PRESSURE TRANSMITTER 2IN LINE,9,pcs,263.43,Ashcroft,
NUT-1292,T-Nut M10,4688,pcs,2.99,Fastenal,replacement
NUT-1292,T-Nut M10,4688,pcs,2.99,Fastenal,replacement
SLV-1934,Shaft Key 60mm,33,pcs,253.67,Timken,need by Friday
PIP-1422,Carbon Steel Pipe SCH80 4in x 6m,124,pc,163.56,US Steel,quarterly order
PMP-1884,Gear Pump 2in 10HP,3,Pc,394.13,Grundfos,check inventory first
WSH-1379,Sealing Washer 1in,3188,Pc,0.54,Nord-Lock,replacement
WSH-1379,Sealing Washer 1in,3188,Pc,0.54,Nord-Lock,replacement
ORG-2032,V-RING SEAL 25MM ID,459,pcs.,42.04,Trelleborg,
BLT-1155,U-Bolt M16x80,1867,PCS,0.33,Fastenal,new requirement
WSH-1312,Lock Washer M10,700,ea,1.82,Fastenal,standard
ORG-1998,O-Ring Viton 15mm ID,359,pcs,32.75,Freudenberg,
VLV-1620,Relief Valve 2in,4,PCS,104.12,Crane,quarterly order
NUT-1281,Acorn Nut M8,7778,pc,2.19,McMaster-Carr,urgent
LUB-1973,Compressor Oil 200L,13,PCS,368.27,Total,quarterly order
HSE-1767,Hydraulic Filter 1/4in,12,pcs,341.81,Eaton,approved by mgr
PRS-1692,Temperature Gauge 0-300C,6,pcs.,156.02,Honeywell,check inventory first
PIP-1402,steel pipe sch40 1in x 6m,71,PCS,176.24,POSCO,standard
HSE-1764,  Hydraulic Filter 1/2in x 3m ,17,pcs,472.72,Parker,see attached spec
WLD-2116,MIG Wire ER70S-6 0.8mm x 15kg,87,pcs,119.63,Lincoln Electric,check inventory first
HSE-1759,Hydraulic Pump 1/4in,37,ea,227.22,Eaton,
BRG-1023,Angular Contact Bearing 30206,343,pcs.,65.29,Koyo,
GSK-1647,PTFE Envelope Gasket 2in 150#,163,ea.,60.23,Klinger,
FLT-1809,Bag Filter 10 Micron,59,pcs.,138.98,Mann+Hummel,standard
BRG-1098,Flanged Bearing Unit 51105,93,pcs,70.69,INA,see attached spec
BLT-1155,U-Bolt M16x80,678,PCS,1.43,Fastenal,new requirement
WSH-1321,SPRING WASHER M8,2196,EA,0.93,Nord-Lock,need by Friday
WSH-1321,SPRING WASHER M8,2196,EA,0.93,Nord-Lock,need by Friday
BLT-1121,Carriage Bolt M8x30,2149,pcs,1.09,Nord-Lock,see attached spec
VLV-1605,Plug Valve 3in,18,EA,187.30,Cameron,backorder ok
FLT-1798,  Fuel Filter 25 Micron ,31,PCS,83.72,Mahle,urgent
NUT-1269,Cage Nut 1in,1792,pc,2.71,Brighton-Best,standard
NUT-1216,Lock Nut Nylon Insert 1/2in,3689,Pc,0.06,McMaster-Carr,check inventory first
PIP-1404,steel pipe sch40 2in x 6m,24,PCS,52.44,ArcelorMittal,urgent
PMP-1883,Gear Pump 1.5in 7.5HP,2,Pc,4791.30,KSB,quarterly order
NUT-1299,T-Nut 1in,7911,ea,0.71,Brighton-Best,see attached spec
VLV-1576,Check Valve Swing 1/2in,5,PCS,160.85,Neles,quarterly order
PRS-1713,Pressure Transmitter 0-300C,11,ea.,389.36,Yokogawa,
PRS-1684,  Pressure Gauge 0-150C ,21,ea.,40.51,WIKA,need by Friday
VLV-1556,Ball Valve Full Port 2in,12,Pc,723.56,Velan,need by Friday
ORG-2030,v-ring seal 15mm id,259,Pc,23.56,SKF,
BRG-1070,SELF-ALIGNING BEARING 6205,237,Pc,58.12,Timken,
BRG-1053,Needle Roller Bearing 30206,442,ea,81.66,Timken,
PMP-1899,Screw Pump 4in 25HP,2,pcs.,3440.04,Ebara,
BRG-1001,Deep Groove Ball Bearing 6208,450,ea,59.82,Timken,replacement
VLV-1621,Relief Valve 3in,29,EA,81.27,Neles,new requirement
PIP-1440,cpvc pipe 1/2in x 6m,108,pcs.,298.92,US Steel,see attached spec
GSK-1656,Rubber Gasket 4in 150#,136,Pc,21.07,Klinger,standard
FLG-1534,Socket Weld Flange 4in 300#,53,ea,180.74,Bonney Forge,
BRG-1036,Spherical Roller Bearing 22210,48,PCS,22.15,NTN,
FLT-1785,Air Filter Element 10 Micron,44,ea.,115.96,Pall Corporation,need by Friday
VLV-1612,  Diaphragm Valve 2in ,30,pc,54.44,Emerson,check inventory first
BRG-1079,Self-Aligning Bearing UC205,138,PCS,75.12,Timken,
BLT-1198,Lag Bolt 5/8x3in,3377,ea.,7.30,McMaster-Carr,new requirement
BLT-1198,Lag Bolt 5/8x3in,3377,ea.,7.30,McMaster-Carr,new requirement
VLV-1631,Solenoid Valve 6in,46,Pc,283.86,Emerson,replacement
ELC-2065,Control Transformer 40A,45,PCS,298.71,ABB,check inventory first
BLT-1197,Lag Bolt 1/2x2in,846,pcs.,6.91,Nord-Lock,
FLT-1801,Fuel Filter 1 Micron,94,pcs,27.93,Mahle,
BLT-1173,Anchor Bolt M10x50,3141,Pc,2.47,Grainger,new requirement
BLT-1173,Anchor Bolt M10x50,3141,Pc,2.47,Grainger,new requirement
VLV-1600,plug valve 1/2in,38,pc,461.70,Neles,urgent
ORG-2010,O-Ring Silicone 40mm ID,247,ea,31.80,Parker,
PMP-1871,Centrifugal Pump 1.5in 7.5HP,5,pcs,5376.79,KSB,check inventory first
FLT-1792,Hydraulic Filter Element 25 Micron,45,ea,112.88,Donaldson,urgent
LUB-1955,Bearing Grease 1kg,32,pcs,182.76,Shell,check inventory first
ORG-2004,O-Ring Viton 75mm ID,63,PCS,21.40,James Walker,approved by mgr
BLT-1121,Carriage Bolt M8x30,2459,pcs,5.89,Nord-Lock,backorder ok
WLD-2130,Flux Core Wire E71T-1 1.2mm x 15kg,78,pc,118.58,Bohler,check inventory first
BRG-1042,thrust ball bearing 6310,161,Pc,91.80,Koyo,see attached spec
SLV-1927,Shaft Collar 75mm,16,Pc,65.23,Dodge,need by Friday
NUT-1252,Castle Nut M10,2268,pc,2.20,McMaster-Carr,new requirement
BLT-1147,EYE BOLT 1/2X2IN,4782,EA,0.30,McMaster-Carr,approved by mgr
BRG-1097,Flanged Bearing Unit NU210,22,pcs,33.12,SKF,replacement
ELB-1494,Street Elbow 90deg 4in,172,pcs,16.75,Bonney Forge,need by Friday
WSH-1325,Spring Washer M20,9502,PCS,1.64,Nord-Lock,
HSE-1775,QUICK DISCONNECT COUPLING 1/4IN,43,ea.,495.53,Parker,backorder ok
PRS-1694,Temperature Gauge 4in line,3,pcs.,72.17,Emerson Rosemount,check inventory first
BLT-1156,u-bolt m20x100,854,pc,1.04,Wurth,urgent
FLT-1803,Water Filter Cartridge 10 Micron,89,ea.,85.26,Parker,approved by mgr
MTR-1840,Servo Motor 0.5HP,1,PCS,2343.40,Regal Beloit,urgent
NUT-1248,Wing Nut 3/4in,5249,ea.,0.62,Brighton-Best,new requirement
NUT-1265,Cage Nut M20,5262,EA,1.92,Fastenal,need by Friday
NUT-1245,Wing Nut M20,4654,ea.,0.13,Grainger,
FLT-1809,Bag Filter 10 Micron,10,Pc,126.18,Mann+Hummel,
ELC-2097,Push Button Switch 40A,34,ea.,210.85,Allen-Bradley,
GSK-1664,Graphite Gasket 6in 150#,184,ea.,21.91,Klinger,check inventory first
ELB-1476,  Elbow 45deg 2in ,127,ea.,36.35,Victaulic,backorder ok
FLG-1527,Blind Flange 6in 300#,63,pcs.,148.00,Georg Fischer,
BRG-1096,FLANGED BEARING UNIT 22210,409,pcs.,70.60,Koyo,standard
GSK-1636,Spiral Wound Gasket 6in 150#,61,pc,20.99,Klinger,
FLG-1523,Blind Flange 4in 150#,14,ea,41.08,Georg Fischer,replacement
VLV-1569,Globe Valve 3/4in,40,pcs.,467.95,Velan,check inventory first
ELC-2075,Terminal Block 100A,8,ea,180.74,Allen-Bradley,quarterly order
WSH-1394,Copper Washer M16,8210,pc,1.92,Nord-Lock,check inventory first
ELC-2084,Cable Gland 160A,26,pcs.,67.86,Eaton,standard
PMP-1888,Peristaltic Pump 1in 5HP,4,Pc,8276.15,Xylem,
FLG-1504,Weld Neck Flange 1in 150#,45,pcs,131.19,Boltex,standard
ELC-2071,Terminal Block 25A,16,Pc,245.54,Allen-Bradley,replacement
WSH-1322,SPRING WASHER M10,5622,pcs.,0.07,Nord-Lock,approved by mgr
WLD-2120,TIG Rod ER308L 3.2mm x 5kg,65,pcs.,66.98,Hobart,see attached spec
WLD-2114,MIG Wire ER70S-6 3.2mm x 5kg,44,Pc,25.65,Bohler,
BLT-1128,Carriage Bolt 5/8x3in,2295,Pc,0.16,McMaster-Carr,urgent
PIP-1412,  SS Pipe SCH10 2in x 6m ,96,Pc,227.90,POSCO,quarterly order
VLV-1553,Ball Valve Full Port 3/4in,33,ea.,194.33,Cameron,
WSH-1310,Lock Washer M6,9050,ea,0.24,McMaster-Carr,new requirement
NUT-1292,T-Nut M10,1668,pcs.,0.23,Fastenal,
MTR-1856,Stepper Motor 10HP,6,ea,294.91,Baldor,standard
WSH-1380,fiber washer m6,782,PCS,0.93,Fastenal,
VLV-1625,solenoid valve 3/4in,28,pcs.,709.54,Emerson,check inventory first
PRS-1727,RTD Sensor PT100 0-300C,6,pc,146.47,Honeywell,
NUT-1242,Wing Nut M10,6475,ea,2.50,Wurth,
VLV-1601,Plug Valve 3/4in,44,pcs.,215.77,Flowserve,backorder ok
LUB-1980,Anti-Seize Compound 1kg,41,pcs,194.47,Shell,new requirement
NUT-1282,Acorn Nut M10,5720,ea.,2.28,Wurth,
PMP-1899,Screw Pump 4in 25HP,1,EA,6212.77,Ebara,need by Friday
LUB-1967,Gear Oil 20L,22,Pc,90.04,Mobil,backorder ok
BRG-1033,Spherical Roller Bearing 30206,179,pc,52.95,Koyo,standard
FLT-1781,Oil Filter Element 50 Micron,80,pcs,104.20,Mahle,
BLT-1138,Flange Bolt 5/8x3in,3445,pc,7.68,Fastenal,new requirement
PIP-1427,Galvanized Pipe 1.5in x 6m,17,pcs,304.13,Tata Steel,new requirement
WLD-2103,welding rod e6010 4.0mm x 5kg,37,pcs,80.01,Miller,need by Friday
NUT-1266,  Cage Nut 1/2in ,9188,ea.,1.77,McMaster-Carr,
VLV-1587,Butterfly Valve 1.5in,7,Pc,454.28,Neles,quarterly order
BRG-1079,SELF-ALIGNING BEARING UC205,214,EA,77.71,Timken,
NUT-1269,cage nut 1in,6901,pcs,0.56,Brighton-Best,
LUB-1983,Anti-Seize Compound 200L,32,EA,440.21,Mobil,
FLG-1546,Lap Joint Flange 3in 150#,59,PCS,33.37,Boltex,new requirement
ELB-1476,ELBOW 45DEG 2IN,183,pcs,56.08,Victaulic,urgent
GSK-1658,Rubber Gasket 8in 150#,77,ea.,36.43,Flexitallic,backorder ok
WSH-1359,Wave Washer 1in,4075,ea,1.03,Grainger,backorder ok
PIP-1404,Steel Pipe SCH40 2in x 6m,179,ea,216.38,ArcelorMittal,backorder ok
GSK-1674,METAL JACKETED GASKET 1IN 150#,39,PCS,38.75,Teadit,quarterly order
BLT-1115,Socket Head Cap Screw M16x80,4907,pcs.,2.31,Grainger,replacement
WSH-1333,Belleville Washer M12,5445,EA,1.35,Grainger,urgent
BLT-1148,Eye Bolt 5/8x3in,2072,ea,5.45,Fastenal,urgent
ORG-2007,O-RING SILICONE 20MM ID,56,ea,34.01,Parker,need by Friday
ELC-2065,Control Transformer 40A,2,Pc,77.20,ABB,
BLT-1147,Eye Bolt 1/2x2in,3921,EA,5.76,McMaster-Carr,
PMP-1883,Gear Pump 1.5in 7.5HP,1,ea.,5819.57,KSB,replacement
ORG-1998,O-Ring Viton 15mm ID,421,pcs.,7.58,Freudenberg,new requirement
FLT-1804,Water Filter Cartridge 25 Micron,75,EA,24.77,Mahle,standard
BRG-1063,Pillow Block Bearing 30206,9,EA,17.49,SKF,replacement
BRG-1090,  Flanged Bearing Unit 6205 ,325,pc,52.78,NTN,
FLG-1534,Socket Weld Flange 4in 300#,22,PCS,128.44,Bonney Forge,
PRS-1689,TEMPERATURE GAUGE 0-200PSI,22,pcs,315.49,WIKA,
WSH-1395,  Copper Washer M20 ,7875,ea.,0.67,Nord-Lock,
BLT-1160,Stud Bolt M6x20,4969,pcs,3.41,Fastenal,
MTR-1843,Servo Motor 3HP,6,pcs,427.51,Siemens,check inventory first
VLV-1560,Gate Valve 1/2in,50,PCS,67.68,Velan,new requirement
HSE-1757,HYDRAULIC PUMP 3/4IN X 3M,17,ea,223.89,Eaton,new requirement
NUT-1243,Wing Nut M12,7846,ea.,2.91,Brighton-Best,
NUT-1243,Wing Nut M12,7846,ea.,2.91,Brighton-Best,
ELB-1485,Long Radius Elbow 90deg 3in,113,pcs,60.04,Georg Fischer,new requirement
PIP-1440,CPVC Pipe 1/2in x 6m,146,Pc,227.54,US Steel,replacement
WSH-1381,Fiber Washer M8,4842,EA,1.53,McMaster-Carr,quarterly order
GSK-1664,Graphite Gasket 6in 150#,15,pcs,48.25,Klinger,standard
PIP-1430,GALVANIZED PIPE 4IN X 6M,66,pc,299.30,ArcelorMittal,replacement
FLG-1514,Slip-On Flange 3in 150#,6,ea,141.96,Bonney Forge,
ELC-2064,Control Transformer 32A,2,PCS,189.65,Eaton,backorder ok
WSH-1350,Wave Washer M6,3327,EA,0.66,Grainger,new requirement
ELB-1498,Reducing Elbow 1in,129,PCS,48.85,Smith-Cooper,urgent
ORG-2032,V-Ring Seal 25mm ID,197,EA,22.25,Trelleborg,
FLG-1525,blind flange 2in 300#,66,ea,212.41,Boltex,quarterly order
WSH-1387,Fiber Washer 5/8in,3550,EA,1.82,Fastenal,backorder ok
HSE-1754,Hydraulic Pump 1/4in x 1m,35,ea.,382.56,Hydac,approved by mgr
FLT-1819,STRAINER BASKET 1 MICRON,36,Pc,40.63,Hydac,
FLT-1819,STRAINER BASKET 1 MICRON,36,Pc,40.63,Hydac,
ELC-2065,Control Transformer 40A,4,pc,78.85,ABB,approved by mgr
ELC-2074,Terminal Block 63A,16,EA,140.90,Schneider Electric,see attached spec
LUB-1968,Gear Oil 200L,6,pcs.,265.43,Total,see attached spec
BLT-1139,Flange Bolt 3/4x4in,1123,EA,0.48,Hilti,
NUT-1265,Cage Nut M20,7023,pc,2.89,Fastenal,
ORG-2002,O-Ring Viton 40mm ID,34,ea.,24.66,Trelleborg,
SLV-1935,Shaft Key 75mm,29,Pc,184.60,Dodge,need by Friday
MTR-1837,Gear Motor 15HP,3,PCS,1962.41,Siemens,check inventory first
VLV-1620,  Relief Valve 2in ,32,pc,30.02,Crane,new requirement
WSH-1341,  Fender Washer M8 ,1341,pcs,1.34,Nord-Lock,
MTR-1835,Gear Motor 7.5HP,8,pcs.,3101.21,Regal Beloit,need by Friday
WSH-1392,Copper Washer M10,4467,PCS,1.24,Grainger,
NUT-1263,Cage Nut M12,9424,PCS,2.96,Grainger,quarterly order
LUB-1965,Gear Oil 1kg,41,ea,141.81,Kluber,new requirement
PRS-1692,  Temperature Gauge 0-300C ,12,Pc,31.45,Honeywell,
BRG-1093,Flanged Bearing Unit 30206,317,EA,103.08,Timken,quarterly order
WSH-1393,Copper Washer M12,1342,ea.,0.03,McMaster-Carr,quarterly order
PMP-1875,Centrifugal Pump 4in 25HP,2,pc,7507.08,Grundfos,urgent
NUT-1234,Coupling Nut M16,698,pcs,2.26,Fastenal,approved by mgr
ELC-2042,Circuit Breaker 63A,41,ea.,146.24,Allen-Bradley,
WLD-2127,Flux Core Wire E71T-1 4.0mm x 5kg,6,pcs,27.20,Lincoln Electric,
BRG-1069,Pillow Block Bearing UC205,21,Pc,104.52,Timken,urgent
WSH-1399,copper washer 1in,8671,pcs.,1.90,McMaster-Carr,standard
NUT-1227,Flange Nut 5/8in,452,ea,0.43,Fastenal,
BLT-1144,Eye Bolt M12x60,2971,ea,7.47,Hilti,backorder ok
SLV-1908,Shaft Sleeve 40mm,5,pcs.,44.20,Rexnord,standard
VLV-1582,Check Valve Swing 4in,21,pcs,827.79,Crane,backorder ok
ELC-2065,Control Transformer 40A,2,pc,207.63,ABB,check inventory first
WSH-1386,Fiber Washer 1/2in,4559,pcs.,0.77,Nord-Lock,quarterly order
WLD-2117,MIG Wire ER70S-6 1.0mm x 15kg,95,EA,23.73,Lincoln Electric,
FLT-1779,Oil Filter Element 10 Micron,94,pc,120.90,Mahle,need by Friday
ELC-2038,Circuit Breaker 16A,35,EA,307.52,Allen-Bradley,see attached spec
VLV-1611,Diaphragm Valve 1.5in,6,pc,843.05,Crane,
NUT-1241,Wing Nut M8,859,PCS,2.33,Grainger,urgent
ELB-1494,Street Elbow 90deg 4in,169,ea,20.58,Bonney Forge,
PRS-1725,RTD SENSOR PT100 0-500PSI,12,PCS,308.21,Endress+Hauser,
MTR-1826,  Electric Motor 3Phase 10HP ,2,pc,3029.53,Baldor,standard
WSH-1395,Copper Washer M20,5723,pcs,1.08,Nord-Lock,
BRG-1007,Deep Groove Ball Bearing NU210,416,pc,29.58,SKF,standard
BLT-1136,  Flange Bolt M20x100 ,2670,pcs,6.68,Hilti,
GSK-1645,Ring Joint Gasket 2in 300#,82,EA,31.95,Klinger,
HSE-1738,Hydraulic Fitting 1/4in x 1m,27,EA,383.87,Bosch Rexroth,quarterly order
WSH-1387,Fiber Washer 5/8in,6972,EA,1.30,Fastenal,backorder ok
PIP-1426,Galvanized Pipe 1in x 6m,175,Pc,184.92,Nippon Steel,replacement
GSK-1640,Ring Joint Gasket 2in 150#,170,pcs.,49.78,Klinger,
ORG-1998,O-Ring Viton 15mm ID,366,Pc,0.84,Freudenberg,urgent
BLT-1165,Stud Bolt M16x80,835,ea,5.27,Wurth,new requirement
MTR-1823,Electric Motor 3Phase 3HP,2,PCS,879.63,Siemens,approved by mgr
WSH-1327,Spring Washer 5/8in,3693,pc,1.09,Grainger,see attached spec
WSH-1327,Spring Washer 5/8in,3693,pc,1.09,Grainger,see attached spec
ELB-1469,Elbow 90deg 3in,34,pcs,16.91,Victaulic,quarterly order
PIP-1417,Carbon Steel Pipe SCH80 3/4in x 6m,60,ea.,141.62,Nippon Steel,standard
BRG-1019,Tapered Roller Bearing UC205,135,ea.,101.79,SKF,
WSH-1303,Flat Washer M12,2290,ea.,1.39,Nord-Lock,see attached spec
PMP-1880,  Diaphragm Pump 3in 20HP ,3,ea,6213.71,Flowserve,need by Friday
PIP-1459,Chrome Moly Pipe 1.5in x 6m,128,pcs,155.33,Tenaris,see attached spec
NUT-1256,Castle Nut 1/2in,8272,Pc,2.94,Wurth,need by Friday
MTR-1835,Gear Motor 7.5HP,2,ea,179.52,Regal Beloit,
BRG-1071,Self-Aligning Bearing 6208,340,pc,65.49,FAG,need by Friday
PRS-1687,Pressure Gauge 4in line,30,pcs.,390.23,Emerson Rosemount,
GSK-1667,Kammprofile Gasket 1in 150#,139,pc,43.66,Teadit,need by Friday
FLT-1811,Bag Filter 50 Micron,64,ea,26.80,Donaldson,backorder ok
NUT-1287,ACORN NUT 5/8IN,3597,pcs,1.44,Brighton-Best,need by Friday
