Part Number,Description,Qty,UOM,Unit Price,Supplier
SLV-1909,Shaft Sleeve 50mm,30,Pcs,68.44,Parker Hannifin
BRG-1001,Deep Groove Ball Bearing 6208,346,ea,64.30,McMaster Supply Co
ORG-2011,O-Ring Silicone 50mm ID,494,ea.,10.59,Swagelok Authorized
BRG-1095,Flanged Bearing Unit 7208,376,ea,38.67,Swagelok Authorized
ORG-1996,O-Ring Buna-N 75mm ID,143,ea.,18.28,Parker Hannifin
BLT-1145,Eye Bolt M16x80,4468,ea.,7.13,McMaster Supply Co
VLV-1587,Butterfly Valve 1.5in,11,Each,849.06,SKF Distributor Inc
LUB-1973,Compressor Oil 200L,49,Each,151.31,ABB Sales Division
WSH-1347,Fender Washer 5/8in,9572,pcs.,0.70,Parker Hannifin
FLT-1819,Strainer Basket 1 Micron,49,Each,155.85,Grainger Industrial
WSH-1326,Spring Washer 1/2in,4788,pcs,0.70,Parker Hannifin
NUT-1274,Weld Nut M16,5663,ea.,0.20,Parker Hannifin
BLT-1162,Stud Bolt M10x40,2788,pcs.,2.88,Swagelok Authorized
FLT-1799,Fuel Filter 50 Micron,89,pcs,157.67,Georg Fischer Piping
LUB-1978,chain lubricant 200l,23,pcs.,81.73,McMaster Supply Co
NUT-1291,T-Nut M8,5093,pcs.,1.38,Georg Fischer Piping
BRG-1020,Angular Contact Bearing 6205,47,Each,118.29,SKF Distributor Inc
PIP-1452,Copper Tube Type L 2in x 6m,149,EA,183.98,Swagelok Authorized
PIP-1452,Copper Tube Type L 2in x 6m,149,EA,183.98,Swagelok Authorized
ELB-1466,Elbow 90deg 1in,46,Pcs,49.58,Georg Fischer Piping
NUT-1224,Flange Nut M16,1085,pcs.,1.96,Grainger Industrial
PMP-1884,Gear Pump 2in 10HP,4,EA,7596.42,ABB Sales Division
PMP-1884,Gear Pump 2in 10HP,4,EA,7596.42,ABB Sales Division
BRG-1080,Cylindrical Roller Bearing 6205,258,ea.,115.63,Fastenal Direct
HSE-1748,HYDRAULIC CYLINDER 1/2IN X 3M,27,EA,178.55,McMaster Supply Co
BLT-1116,Socket Head Cap Screw M20x100,4368,Pcs,0.82,Grainger Industrial
WSH-1312,Lock Washer M10,4822,Pieces,0.92,Grainger Industrial
NUT-1264,CAGE NUT M16,4681,ea.,1.24,Grainger Industrial
BLT-1161,Stud Bolt M8x30,503,EA,5.66,SKF Distributor Inc
LUB-1980,Anti-Seize Compound 1kg,12,EA,372.08,Parker Hannifin
PRS-1720,Thermocouple Type K 0-300C,24,Pieces,222.83,Grainger Industrial
PRS-1720,Thermocouple Type K 0-300C,24,Pieces,222.83,Grainger Industrial
BRG-1095,Flanged Bearing Unit 7208,400,ea.,65.61,ABB Sales Division
HSE-1742,Hydraulic Fitting 1in x 5m,38,EA,155.47,McMaster Supply Co
ELC-2090,Junction Box 63A,7,pcs,356.30,Grainger Industrial
ORG-2033,v-ring seal 30mm id,492,Pcs,40.76,Grainger Industrial
VLV-1623,Relief Valve 6in,12,Each,625.33,Grainger Industrial
FLT-1797,Fuel Filter 10 Micron,11,Pieces,166.16,SKF Distributor Inc
WSH-1313,Lock Washer M12,4000,EA,0.85,Parker Hannifin
VLV-1594,Needle Valve 1in,49,ea,57.78,Parker Hannifin
PIP-1451,  Copper Tube Type L 1.5in x 6m ,7,pcs,82.12,Georg Fischer Piping
MTR-1850,  Stepper Motor 0.5HP ,4,Pcs,3460.23,ABB Sales Division
NUT-1285,Acorn Nut M20,2063,pcs,1.23,McMaster Supply Co
PRS-1728,  RTD Sensor PT100 2in line ,25,Pcs,258.00,Parker Hannifin
BLT-1137,Flange Bolt 1/2x2in,3911,Pieces,3.45,Grainger Industrial
BRG-1076,self-aligning bearing 22210,249,EA,39.07,Parker Hannifin
BRG-1086,Cylindrical Roller Bearing 22210,87,pcs.,108.39,Fastenal Direct
ELC-2038,Circuit Breaker 16A,10,pcs.,159.37,Grainger Industrial
ORG-2035,V-Ring Seal 50mm ID,383,ea,1.34,Parker Hannifin
MTR-1837,Gear Motor 15HP,2,ea.,2707.90,Fastenal Direct
BRG-1095,Flanged Bearing Unit 7208,229,Pieces,87.20,ABB Sales Division
VLV-1586,  Butterfly Valve 1in ,42,Each,666.86,ABB Sales Division
VLV-1591,Butterfly Valve 6in,48,pcs,359.58,Fastenal Direct
ELC-2067,Control Transformer 100A,19,Pcs,129.41,Grainger Industrial
PRS-1699,flow meter 0-300c,29,Each,219.17,Grainger Industrial
FLT-1788,Air Filter Element 100 Micron,43,ea.,128.46,Parker Hannifin
GSK-1668,kammprofile gasket 2in 150#,107,pcs.,4.55,Parker Hannifin
HSE-1744,Hydraulic Fitting 3/8in,39,Pcs,629.11,ABB Sales Division
VLV-1593,Needle Valve 3/4in,27,pcs.,452.30,Swagelok Authorized
VLV-1593,Needle Valve 3/4in,27,pcs.,452.30,Swagelok Authorized
PRS-1686,Pressure Gauge 2in line,30,Pcs,239.81,Grainger Industrial
ELC-2060,  Overload Relay 160A ,29,ea,219.41,Fastenal Direct
MTR-1846,Servo Motor 10HP,5,EA,1457.96,Parker Hannifin
PRS-1693,Temperature Gauge 2in line,11,ea,189.91,ABB Sales Division
FLG-1518,Slip-On Flange 4in 300#,15,Pcs,199.47,Fastenal Direct
WLD-2110,Welding Rod E7018 0.8mm x 15kg,52,Pcs,69.20,ABB Sales Division
PIP-1457,Chrome Moly Pipe 3/4in x 6m,146,pcs.,37.94,ABB Sales Division
SLV-1932,shaft key 40mm,7,pcs.,130.34,Swagelok Authorized
VLV-1610,Diaphragm Valve 1in,39,pcs.,446.00,Georg Fischer Piping
BRG-1027,Angular Contact Bearing NU210,490,Each,13.14,Fastenal Direct
WLD-2122,TIG Rod ER308L 0.8mm x 15kg,43,Pcs,47.87,Parker Hannifin
ELC-2040,Circuit Breaker 32A,36,Each,317.76,ABB Sales Division
BRG-1067,Pillow Block Bearing NU210,439,ea.,23.05,ABB Sales Division
BLT-1148,Eye Bolt 5/8x3in,3288,Pcs,0.42,ABB Sales Division
FLG-1536,Threaded Flange 1in 150#,10,Pcs,274.38,ABB Sales Division
BLT-1178,Anchor Bolt 5/8x3in,288,Each,7.68,SKF Distributor Inc
NUT-1275,Weld Nut M20,4001,Pieces,2.90,Parker Hannifin
ORG-1995,O-Ring Buna-N 50mm ID,259,Pieces,20.96,SKF Distributor Inc
GSK-1679,Metal Jacketed Gasket 8in 150#,172,EA,37.88,Fastenal Direct
GSK-1654,Rubber Gasket 2in 150#,71,pcs,50.76,Grainger Industrial
HSE-1743,hydraulic fitting 1/4in,37,EA,677.29,SKF Distributor Inc
BLT-1128,Carriage Bolt 5/8x3in,2548,Pcs,0.30,Parker Hannifin
WSH-1354,Wave Washer M16,7362,ea.,1.68,McMaster Supply Co
FLT-1791,  Hydraulic Filter Element 10 Micron ,62,EA,105.94,McMaster Supply Co
NUT-1246,Wing Nut 1/2in,9236,ea.,1.56,Swagelok Authorized
NUT-1275,Weld Nut M20,1959,ea.,2.70,Georg Fischer Piping
LUB-1974,Chain Lubricant 400g,15,Pieces,124.08,Grainger Industrial
LUB-1974,Chain Lubricant 400g,15,Pieces,124.08,Grainger Industrial
WSH-1313,lock washer m12,6488,Each,1.69,ABB Sales Division
GSK-1675,Metal Jacketed Gasket 2in 150#,23,pcs,40.09,SKF Distributor Inc
HSE-1776,quick disconnect coupling 3/8in,37,ea,409.71,Fastenal Direct
VLV-1598,Needle Valve 4in,36,Each,432.78,SKF Distributor Inc
ELC-2056,  Overload Relay 32A ,24,EA,143.77,ABB Sales Division
BRG-1093,Flanged Bearing Unit 30206,65,pcs,54.77,McMaster Supply Co
PIP-1420,Carbon Steel Pipe SCH80 2in x 6m,82,Each,308.95,McMaster Supply Co
LUB-1987,Penetrating Oil 20L,43,Each,292.42,Fastenal Direct
ELB-1498,Reducing Elbow 1in,151,ea.,29.32,McMaster Supply Co
BLT-1160,Stud Bolt M6x20,934,pcs,2.55,Parker Hannifin
VLV-1574,Globe Valve 4in,9,Pieces,405.01,Georg Fischer Piping
MTR-1830,Gear Motor 0.5HP,1,Each,2756.91,Parker Hannifin
ELB-1493,Street Elbow 90deg 3in,77,Each,11.10,SKF Distributor Inc
FLT-1797,fuel filter 10 micron,25,pcs,145.07,Parker Hannifin
WSH-1332,Belleville Washer M10,9462,pcs.,0.94,Swagelok Authorized
BRG-1011,Tapered Roller Bearing 6208,228,EA,60.88,McMaster Supply Co
FLG-1526,Blind Flange 4in 300#,70,pcs,208.34,Swagelok Authorized
NUT-1282,acorn nut m10,2211,pcs,1.91,Parker Hannifin
ELB-1493,street elbow 90deg 3in,14,Each,58.20,Fastenal Direct
BRG-1032,Spherical Roller Bearing 6310,499,pcs,74.46,Swagelok Authorized
NUT-1208,Hex Nut 3/4in,9175,ea.,2.79,ABB Sales Division
HSE-1745,Hydraulic Fitting 1/2in,37,Each,170.89,ABB Sales Division
WSH-1372,Sealing Washer M10,6400,ea,1.12,Parker Hannifin
ORG-2019,Oil Seal 50mm ID,129,Pcs,32.87,ABB Sales Division
SLV-1932,Shaft Key 40mm,38,pcs.,94.12,McMaster Supply Co
WLD-2102,Welding Rod E6010 3.2mm x 5kg,96,Pieces,93.48,Swagelok Authorized
FLT-1778,Oil Filter Element 5 Micron,18,Pcs,71.15,Fastenal Direct
WLD-2119,TIG Rod ER308L 2.5mm x 5kg,55,Pcs,52.75,Grainger Industrial
WLD-2121,TIG Rod ER308L 4.0mm x 5kg,29,Each,61.92,Fastenal Direct
FLG-1524,Blind Flange 6in 150#,87,EA,263.43,SKF Distributor Inc
VLV-1614,diaphragm valve 4in,43,ea,121.40,McMaster Supply Co
PMP-1875,Centrifugal Pump 4in 25HP,3,EA,6681.83,Fastenal Direct
GSK-1659,Rubber Gasket 2in 300#,113,ea,8.21,Grainger Industrial
BLT-1138,Flange Bolt 5/8x3in,2287,ea,2.12,Fastenal Direct
NUT-1224,Flange Nut M16,2432,ea.,1.87,SKF Distributor Inc
BRG-1065,Pillow Block Bearing 7208,290,Pieces,9.53,Swagelok Authorized
WSH-1353,wave washer m12,9655,Each,0.62,Fastenal Direct
PRS-1703,Level Transmitter 0-200psi,12,Pcs,291.64,Parker Hannifin
PIP-1406,Steel Pipe SCH40 4in x 6m,191,EA,43.41,Parker Hannifin
ELC-2093,Push Button Switch 10A,48,Each,301.05,SKF Distributor Inc
ELC-2093,Push Button Switch 10A,48,Each,301.05,SKF Distributor Inc
VLV-1573,Globe Valve 3in,27,Each,381.49,ABB Sales Division
VLV-1569,Globe Valve 3/4in,29,pcs.,636.63,SKF Distributor Inc
NUT-1211,Lock Nut Nylon Insert M8,7436,Each,0.40,McMaster Supply Co
ELC-2097,Push Button Switch 40A,38,pcs,282.60,McMaster Supply Co
NUT-1205,Hex Nut M20,6209,ea.,1.66,Grainger Industrial
PIP-1454,Copper Tube Type L 4in x 6m,120,pcs,178.73,Swagelok Authorized
MTR-1858,stepper motor 20hp,3,Pcs,1985.99,Parker Hannifin
PRS-1697,  Flow Meter 0-500psi ,29,ea,201.84,Fastenal Direct
VLV-1603,Plug Valve 1.5in,4,EA,88.38,Parker Hannifin
ELB-1500,Reducing Elbow 2in,41,pcs,29.37,McMaster Supply Co
FLG-1532,Socket Weld Flange 6in 150#,71,pcs,161.80,Georg Fischer Piping
BRG-1000,Deep Groove Ball Bearing 6205,5,ea.,76.69,Georg Fischer Piping
PIP-1441,CPVC Pipe 3/4in x 6m,118,Each,146.89,Fastenal Direct
NUT-1211,Lock Nut Nylon Insert M8,2227,ea,1.80,Parker Hannifin
NUT-1276,Weld Nut 1/2in,5198,Pcs,1.93,Georg Fischer Piping
BLT-1183,Structural Bolt M10x50,3597,Pcs,5.67,Swagelok Authorized
BLT-1109,Hex Bolt 3/4x4in,1590,ea.,6.77,Swagelok Authorized
ELC-2042,Circuit Breaker 63A,36,Each,20.56,ABB Sales Division
WSH-1379,Sealing Washer 1in,1238,EA,1.80,McMaster Supply Co
BRG-1079,self-aligning bearing uc205,36,Each,31.64,SKF Distributor Inc
BRG-1079,self-aligning bearing uc205,36,Each,31.64,SKF Distributor Inc
WSH-1302,Flat Washer M10,8039,Each,0.46,Grainger Industrial
PRS-1719,Thermocouple Type K 0-150C,24,pcs,264.80,SKF Distributor Inc
BLT-1190,  Lag Bolt M6x20 ,400,pcs,7.47,Swagelok Authorized
FLG-1512,Slip-On Flange 1in 150#,89,pcs,24.70,Swagelok Authorized
PRS-1721,THERMOCOUPLE TYPE K 2IN LINE,28,pcs.,141.56,ABB Sales Division
WLD-2121,TIG Rod ER308L 4.0mm x 5kg,26,ea,89.33,Parker Hannifin
LUB-1972,Compressor Oil 20L,29,ea.,206.64,ABB Sales Division
ELB-1480,Long Radius Elbow 90deg 1/2in,107,pcs.,58.66,SKF Distributor Inc
PMP-1892,Peristaltic Pump 3in 20HP,4,Each,5513.95,Swagelok Authorized
MTR-1845,Servo Motor 7.5HP,7,pcs.,1900.15,Grainger Industrial
MTR-1858,  Stepper Motor 20HP ,9,ea.,322.31,ABB Sales Division
NUT-1200,  Hex Nut M6 ,3486,pcs,1.65,ABB Sales Division
LUB-1980,Anti-Seize Compound 1kg,36,ea.,27.98,Parker Hannifin
PRS-1703,Level Transmitter 0-200psi,7,Each,198.74,SKF Distributor Inc
VLV-1565,  Gate Valve 3in ,39,Each,238.28,Grainger Industrial
ELC-2048,Contactor 32A,43,pcs,337.15,ABB Sales Division
ELC-2048,Contactor 32A,43,pcs,337.15,ABB Sales Division
WSH-1389,Fiber Washer 1in,8625,EA,0.21,ABB Sales Division
NUT-1206,Hex Nut 1/2in,5032,Pieces,1.44,Georg Fischer Piping
FLG-1522,Blind Flange 3in 150#,95,pcs.,23.21,Parker Hannifin
LUB-1972,compressor oil 20l,12,pcs.,309.14,Swagelok Authorized
FLG-1506,Weld Neck Flange 3in 150#,34,ea.,68.30,Grainger Industrial
ORG-2034,V-Ring Seal 40mm ID,102,EA,41.08,Swagelok Authorized
PRS-1711,PRESSURE TRANSMITTER 0-500PSI,17,pcs.,362.22,Swagelok Authorized
MTR-1852,Stepper Motor 2HP,6,Pcs,1300.55,SKF Distributor Inc
GSK-1660,Graphite Gasket 1in 150#,26,Pieces,38.58,Georg Fischer Piping
BLT-1149,Eye Bolt 3/4x4in,1682,Each,1.19,Parker Hannifin
ELC-2042,Circuit Breaker 63A,11,Pieces,74.87,Swagelok Authorized
WSH-1312,Lock Washer M10,1565,ea.,1.00,Parker Hannifin
SLV-1921,SHAFT COUPLING 100MM,26,Each,162.11,ABB Sales Division
PMP-1898,Screw Pump 3in 20HP,2,Pieces,2372.58,Georg Fischer Piping
BLT-1172,Anchor Bolt M10x40,627,ea,0.76,Parker Hannifin
HSE-1745,Hydraulic Fitting 1/2in,7,EA,594.14,Georg Fischer Piping
MTR-1863,Explosion Proof Motor 3HP,2,ea,190.36,Georg Fischer Piping
NUT-1285,Acorn Nut M20,8469,ea,2.33,Swagelok Authorized
LUB-1977,  Chain Lubricant 20L ,34,ea.,300.20,Grainger Industrial
MTR-1855,Stepper Motor 7.5HP,3,Each,2390.21,McMaster Supply Co
MTR-1855,Stepper Motor 7.5HP,3,Each,2390.21,McMaster Supply Co
LUB-1968,Gear Oil 200L,19,pcs.,35.68,Georg Fischer Piping
ELB-1490,Street Elbow 90deg 1in,105,Each,17.04,McMaster Supply Co
BRG-1013,Tapered Roller Bearing 30206,188,EA,86.03,Swagelok Authorized
LUB-1959,Hydraulic Oil 400g,28,Pcs,79.29,McMaster Supply Co
WSH-1329,Spring Washer 1in,7129,Each,1.83,Fastenal Direct
HSE-1762,Hydraulic Filter 1/4in x 1m,45,ea,592.25,SKF Distributor Inc
FLT-1814,strainer basket 5 micron,97,pcs,94.94,McMaster Supply Co
HSE-1746,Hydraulic Cylinder 1/4in x 1m,9,Each,506.79,ABB Sales Division
NUT-1295,T-NUT M20,3296,Pieces,0.85,Georg Fischer Piping
BRG-1092,Flanged Bearing Unit 6310,91,Pieces,31.21,Georg Fischer Piping
BLT-1189,Structural Bolt 3/4x4in,2191,ea,3.42,Parker Hannifin
FLG-1504,WELD NECK FLANGE 1IN 150#,100,Pieces,80.25,Grainger Industrial
BRG-1059,Needle Roller Bearing UC205,184,ea,81.02,Parker Hannifin
PIP-1430,Galvanized Pipe 4in x 6m,180,Pieces,91.22,ABB Sales Division
GSK-1670,Kammprofile Gasket 4in 150#,12,ea,29.63,Swagelok Authorized
GSK-1636,Spiral Wound Gasket 6in 150#,123,ea,35.37,Parker Hannifin
BRG-1005,Deep Groove Ball Bearing 7208,376,Pcs,19.06,SKF Distributor Inc
ELC-2053,OVERLOAD RELAY 10A,41,ea.,114.06,Georg Fischer Piping
SLV-1920,SHAFT COUPLING 80MM,4,EA,297.29,McMaster Supply Co
GSK-1665,Graphite Gasket 8in 150#,79,EA,32.99,Fastenal Direct
BRG-1097,Flanged Bearing Unit NU210,62,ea.,79.97,Georg Fischer Piping
BLT-1161,Stud Bolt M8x30,4032,Pieces,4.56,Fastenal Direct
FLG-1538,Threaded Flange 3in 150#,58,Each,141.88,SKF Distributor Inc
GSK-1641,Ring Joint Gasket 3in 150#,55,ea,35.19,Swagelok Authorized
ORG-1994,O-RING BUNA-N 40MM ID,91,pcs,41.37,Fastenal Direct
BLT-1188,Structural Bolt 5/8x3in,595,pcs,2.71,SKF Distributor Inc
FLT-1818,Strainer Basket 100 Micron,82,Each,127.06,Georg Fischer Piping
VLV-1627,Solenoid Valve 1.5in,22,Each,439.29,Grainger Industrial
WSH-1337,Belleville Washer 5/8in,5570,Pieces,0.46,Parker Hannifin
FLG-1535,Socket Weld Flange 6in 300#,6,Each,228.18,McMaster Supply Co
WLD-2105,Welding Rod E6010 1.0mm x 15kg,53,Pcs,21.61,ABB Sales Division
BRG-1089,Cylindrical Roller Bearing UC205,267,EA,49.03,Fastenal Direct
BRG-1049,thrust ball bearing uc205,418,Pcs,19.56,ABB Sales Division
ELC-2041,Circuit Breaker 40A,15,EA,375.42,Parker Hannifin
MTR-1853,Stepper Motor 3HP,6,Each,1250.73,Grainger Industrial
VLV-1620,Relief Valve 2in,34,ea,493.06,Georg Fischer Piping
VLV-1620,Relief Valve 2in,34,ea,493.06,Georg Fischer Piping
SLV-1942,shaft seal 60mm,37,Pcs,281.73,ABB Sales Division
ELC-2079,Cable Gland 25A,48,ea.,55.95,Georg Fischer Piping
BRG-1068,Pillow Block Bearing 51105,393,ea.,38.03,ABB Sales Division
BLT-1142,Eye Bolt M10x40,3932,EA,4.74,Swagelok Authorized
PMP-1891,Peristaltic Pump 2in 15HP,2,pcs,1157.29,SKF Distributor Inc
WSH-1399,Copper Washer 1in,3217,EA,0.61,SKF Distributor Inc
BLT-1189,Structural Bolt 3/4x4in,3077,ea,3.15,McMaster Supply Co
BLT-1125,Carriage Bolt M16x80,4304,Pcs,5.76,Parker Hannifin
BRG-1085,Cylindrical Roller Bearing 7208,274,Pcs,61.64,Parker Hannifin
MTR-1829,Electric Motor 3Phase 25HP,4,ea.,1450.25,ABB Sales Division
SLV-1922,Shaft Collar 25mm,27,pcs.,264.93,SKF Distributor Inc
ORG-1991,O-Ring Buna-N 20mm ID,456,Pcs,26.84,SKF Distributor Inc
WSH-1385,Fiber Washer M20,1331,Pieces,0.71,Grainger Industrial
WSH-1301,Flat Washer M8,6228,ea,1.40,SKF Distributor Inc
SLV-1952,MECHANICAL SEAL 80MM,25,Pcs,264.64,Swagelok Authorized
MTR-1869,EXPLOSION PROOF MOTOR 25HP,7,pcs.,3088.87,Swagelok Authorized
BRG-1015,Tapered Roller Bearing 7208,390,ea,78.41,Grainger Industrial
HSE-1774,Quick Disconnect Coupling 1in x 5m,27,Pcs,532.79,Swagelok Authorized
NUT-1264,  Cage Nut M16 ,1882,ea,1.71,SKF Distributor Inc
NUT-1211,LOCK NUT NYLON INSERT M8,5564,ea,2.08,ABB Sales Division
ELC-2075,Terminal Block 100A,46,EA,371.99,Fastenal Direct
NUT-1283,acorn nut m12,3691,ea.,1.53,SKF Distributor Inc
NUT-1228,  Flange Nut 3/4in ,2409,ea,2.34,Grainger Industrial
BLT-1187,Structural Bolt 1/2x2in,312,pcs.,0.85,Fastenal Direct
NUT-1242,Wing Nut M10,7441,EA,1.56,ABB Sales Division
ELC-2085,Junction Box 10A,10,Pieces,64.59,SKF Distributor Inc
VLV-1569,Globe Valve 3/4in,43,pcs,762.04,McMaster Supply Co
VLV-1595,Needle Valve 1.5in,50,Pcs,136.29,ABB Sales Division
NUT-1260,Cage Nut M6,8935,ea,1.06,SKF Distributor Inc
FLT-1801,Fuel Filter 1 Micron,73,ea.,165.08,Parker Hannifin
WSH-1371,Sealing Washer M8,5529,pcs,1.74,ABB Sales Division
PRS-1711,Pressure Transmitter 0-500psi,7,Pieces,84.64,Georg Fischer Piping
GSK-1651,PTFE Envelope Gasket 8in 150#,87,pcs,22.27,Grainger Industrial
PRS-1717,Thermocouple Type K 0-200psi,21,ea,240.88,ABB Sales Division
PRS-1719,Thermocouple Type K 0-150C,25,EA,112.17,Swagelok Authorized
ELC-2047,Contactor 25A,50,ea,77.76,SKF Distributor Inc
ELC-2047,Contactor 25A,50,ea,77.76,SKF Distributor Inc
PRS-1691,Temperature Gauge 0-150C,18,pcs,444.45,Parker Hannifin
GSK-1643,Ring Joint Gasket 6in 150#,20,Pieces,24.54,Fastenal Direct
ELB-1497,Reducing Elbow 3/4in,13,ea,29.01,SKF Distributor Inc
NUT-1263,Cage Nut M12,4512,ea.,2.50,McMaster Supply Co
SLV-1944,Shaft Seal 80mm,18,Pieces,292.53,Grainger Industrial
BRG-1074,Self-Aligning Bearing 30208,43,ea.,18.19,McMaster Supply Co
SLV-1910,shaft sleeve 60mm,36,Each,77.63,McMaster Supply Co
BRG-1049,Thrust Ball Bearing UC205,280,pcs.,99.48,SKF Distributor Inc
SLV-1938,Shaft Seal 25mm,6,EA,140.54,Grainger Industrial
ELB-1498,Reducing Elbow 1in,132,Pcs,69.34,Grainger Industrial
NUT-1273,Weld Nut M12,9927,EA,0.55,Georg Fischer Piping
HSE-1771,Quick Disconnect Coupling 3/8in x 2m,35,pcs,580.93,Grainger Industrial
NUT-1210,Lock Nut Nylon Insert M6,6203,Pieces,2.21,Grainger Industrial
SLV-1945,Shaft Seal 100mm,6,Each,73.52,ABB Sales Division
PMP-1881,Diaphragm Pump 4in 25HP,2,pcs,3153.46,ABB Sales Division
PIP-1462,Chrome Moly Pipe 4in x 6m,172,Pcs,20.48,Parker Hannifin
MTR-1854,Stepper Motor 5HP,6,Pcs,3382.82,ABB Sales Division
PIP-1412,SS Pipe SCH10 2in x 6m,39,pcs.,187.29,Swagelok Authorized
BLT-1193,LAG BOLT M10X50,3124,EA,5.31,Parker Hannifin
BLT-1124,Carriage Bolt M12x60,398,Pcs,7.96,Parker Hannifin
PMP-1885,Gear Pump 2in 15HP,5,Pcs,796.25,Fastenal Direct
PIP-1439,PVC Pipe SCH40 6in x 6m,176,ea,186.29,McMaster Supply Co
FLT-1796,Fuel Filter 5 Micron,75,Pieces,77.44,McMaster Supply Co
WSH-1312,lock washer m10,5834,pcs.,0.89,Fastenal Direct
VLV-1590,Butterfly Valve 4in,24,ea.,468.11,SKF Distributor Inc
WLD-2103,welding rod e6010 4.0mm x 5kg,61,pcs,16.75,Fastenal Direct
VLV-1605,Plug Valve 3in,8,Each,666.64,Fastenal Direct
ELC-2087,Junction Box 25A,40,Each,175.84,Grainger Industrial
BRG-1037,Spherical Roller Bearing NU210,284,ea.,67.47,Fastenal Direct
ELB-1496,Reducing Elbow 1/2in,111,pcs.,41.66,Grainger Industrial
SLV-1945,Shaft Seal 100mm,10,ea,76.65,Georg Fischer Piping
BLT-1106,Hex Bolt M20x100,739,ea.,7.40,Fastenal Direct
WSH-1373,sealing washer m12,4075,Each,0.83,Fastenal Direct
FLG-1534,Socket Weld Flange 4in 300#,52,Each,256.75,Parker Hannifin
BLT-1100,Hex Bolt M6x20,3990,pcs,5.99,Swagelok Authorized
NUT-1217,Lock Nut Nylon Insert 5/8in,8520,pcs,2.23,SKF Distributor Inc
BRG-1049,Thrust Ball Bearing UC205,209,pcs,85.84,ABB Sales Division
BRG-1049,Thrust Ball Bearing UC205,209,pcs,85.84,ABB Sales Division
PIP-1419,  Carbon Steel Pipe SCH80 1.5in x 6m ,40,pcs.,69.03,SKF Distributor Inc
PIP-1419,  Carbon Steel Pipe SCH80 1.5in x 6m ,40,pcs.,69.03,SKF Distributor Inc
WSH-1375,Sealing Washer M20,4262,ea,1.37,Parker Hannifin
VLV-1630,Solenoid Valve 4in,19,pcs.,48.24,Grainger Industrial
SLV-1942,Shaft Seal 60mm,18,Pieces,286.10,Grainger Industrial
BLT-1101,Hex Bolt M8x30,3195,Pieces,6.98,Parker Hannifin
FLT-1784,Air Filter Element 5 Micron,72,pcs.,29.14,Fastenal Direct
BLT-1146,Eye Bolt M20x100,3109,Pcs,4.95,Georg Fischer Piping
PRS-1705,Level Transmitter 0-150C,26,ea.,126.95,Grainger Industrial
FLT-1805,WATER FILTER CARTRIDGE 50 MICRON,18,Pcs,126.71,Parker Hannifin
VLV-1589,Butterfly Valve 3in,22,ea.,15.96,Georg Fischer Piping
PRS-1718,Thermocouple Type K 0-500psi,12,Pcs,429.64,Grainger Industrial
HSE-1732,Hydraulic Hose 1/2in x 3m,36,pcs.,423.42,SKF Distributor Inc
GSK-1662,Graphite Gasket 3in 150#,198,Pcs,46.75,Georg Fischer Piping
ELC-2054,Overload Relay 16A,8,Each,338.70,Georg Fischer Piping
