Item ID,Part Desc,Quantity,Cost Per Unit,Vendor,Department
BRG-1003,DEEP GROOVE BALL BEARING 30206,192,96.03,Valve World Inc,Utilities
MTR-1859,Stepper Motor 25HP,1,888.85,Pump Solutions Ltd,Production
MTR-1859,Stepper Motor 25HP,1,888.85,Pump Solutions Ltd,Production
GSK-1680,Metal Jacketed Gasket 2in 300#,18,44.13,National Bolt & Nut,Warehouse
PIP-1410,ss pipe sch10 1in x 6m,136,150.31,Electrical Supply House,Operations
LUB-1965,Gear Oil 1kg,43,186.51,National Bolt & Nut,Quality
BRG-1003,Deep Groove Ball Bearing 30206,45,56.90,Pipe & Fitting Co,Safety
WSH-1330,Belleville Washer M6,7926,1.59,SKF Global,Quality
BRG-1020,Angular Contact Bearing 6205,175,92.78,Seal & Gasket Warehouse,Engineering
BLT-1105,Hex Bolt M16x80,1753,1.86,Pipe & Fitting Co,Operations
NUT-1214,Lock Nut Nylon Insert M16,2011,2.66,Seal & Gasket Warehouse,Production
BLT-1116,Socket Head Cap Screw M20x100,747,0.33,National Bolt & Nut,Production
PIP-1426,Galvanized Pipe 1in x 6m,164,99.78,SKF Global,Warehouse
VLV-1601,Plug Valve 3/4in,20,384.08,National Bolt & Nut,Quality
BLT-1189,Structural Bolt 3/4x4in,1930,6.89,National Bolt & Nut,Quality
WLD-2115,MIG Wire ER70S-6 4.0mm x 5kg,96,35.71,Valve World Inc,Maintenance
PRS-1702,Level Transmitter 0-100psi,9,243.56,Timken Industrial,Production
BRG-1083,Cylindrical Roller Bearing 30206,202,64.95,Timken Industrial,Operations
GSK-1664,Graphite Gasket 6in 150#,200,38.58,Seal & Gasket Warehouse,Engineering
VLV-1620,Relief Valve 2in,38,403.56,Seal & Gasket Warehouse,Utilities
GSK-1654,Rubber Gasket 2in 150#,16,13.08,SKF Global,Safety
BLT-1170,Anchor Bolt M6x20,2283,7.14,National Bolt & Nut,Operations
PIP-1402,Steel Pipe SCH40 1in x 6m,64,81.43,Valve World Inc,Utilities
MTR-1827,Electric Motor 3Phase 15HP,4,485.22,Pump Solutions Ltd,Production
WSH-1371,Sealing Washer M8,8571,1.62,Electrical Supply House,Operations
PRS-1700,Flow Meter 2in line,9,252.06,Pump Solutions Ltd,Production
PRS-1700,Flow Meter 2in line,9,252.06,Pump Solutions Ltd,Production
PRS-1700,Flow Meter 2in line,12,238.57,Valve World Inc,Operations
BRG-1011,Tapered Roller Bearing 6208,200,46.60,Pipe & Fitting Co,Utilities
MTR-1822,Electric Motor 3Phase 2HP,1,1197.42,National Bolt & Nut,Operations
FLT-1806,Water Filter Cartridge 100 Micron,40,56.13,Pump Solutions Ltd,Engineering
NUT-1271,Weld Nut M8,8111,1.56,Seal & Gasket Warehouse,Maintenance
BRG-1006,Deep Groove Ball Bearing 22210,401,28.52,SKF Global,Warehouse
BRG-1024,angular contact bearing 30208,441,70.03,Pump Solutions Ltd,Safety
PMP-1891,PERISTALTIC PUMP 2IN 15HP,3,3580.69,Valve World Inc,Utilities
FLG-1548,LAP JOINT FLANGE 6IN 150#,76,84.92,National Bolt & Nut,Engineering
SLV-1906,Shaft Sleeve 25mm,12,247.94,Valve World Inc,Maintenance
VLV-1588,Butterfly Valve 2in,23,617.91,Valve World Inc,Engineering
NUT-1295,T-Nut M20,3323,1.47,Electrical Supply House,Utilities
WSH-1371,Sealing Washer M8,6230,1.04,Valve World Inc,Engineering
BRG-1034,Spherical Roller Bearing 30208,282,110.73,Seal & Gasket Warehouse,Quality
ELC-2061,Control Transformer 10A,17,374.94,Seal & Gasket Warehouse,Quality
BLT-1105,hex bolt m16x80,1298,2.85,Valve World Inc,Warehouse
GSK-1639,Ring Joint Gasket 1in 150#,74,10.05,Pump Solutions Ltd,Utilities
ELC-2049,Contactor 40A,47,269.59,Timken Industrial,Quality
WSH-1350,wave washer m6,7452,1.41,Pump Solutions Ltd,Safety
NUT-1281,Acorn Nut M8,9729,2.81,Pump Solutions Ltd,Operations
SLV-1926,Shaft Collar 60mm,27,101.57,Pipe & Fitting Co,Warehouse
WSH-1317,Lock Washer 5/8in,3841,1.64,Pipe & Fitting Co,Safety
GSK-1636,spiral wound gasket 6in 150#,115,21.85,National Bolt & Nut,Warehouse
BLT-1196,Lag Bolt M20x100,3612,4.28,Timken Industrial,Quality
PMP-1893,Peristaltic Pump 4in 25HP,5,7485.24,Seal & Gasket Warehouse,Quality
NUT-1238,Coupling Nut 3/4in,5963,0.48,Valve World Inc,Warehouse
ELB-1472,Elbow 45deg 1/2in,106,77.35,Seal & Gasket Warehouse,Safety
WSH-1395,Copper Washer M20,8600,0.60,SKF Global,Quality
PIP-1427,Galvanized Pipe 1.5in x 6m,60,115.96,Electrical Supply House,Operations
BLT-1151,U-Bolt M8x30,638,3.63,SKF Global,Quality
ELC-2061,Control Transformer 10A,32,317.82,Valve World Inc,Quality
WSH-1311,LOCK WASHER M8,7338,0.40,National Bolt & Nut,Safety
ELC-2037,circuit breaker 10a,36,159.96,Pipe & Fitting Co,Quality
PRS-1722,Thermocouple Type K 4in line,21,267.17,Timken Industrial,Engineering
BLT-1101,Hex Bolt M8x30,2207,5.14,Electrical Supply House,Maintenance
BLT-1164,Stud Bolt M12x60,4392,5.90,Timken Industrial,Utilities
NUT-1202,Hex Nut M10,9039,1.33,Electrical Supply House,Utilities
WSH-1379,Sealing Washer 1in,7823,1.01,Pump Solutions Ltd,Safety
SLV-1943,Shaft Seal 75mm,38,133.36,National Bolt & Nut,Utilities
ELC-2067,control transformer 100a,37,358.16,Electrical Supply House,Safety
ELB-1494,Street Elbow 90deg 4in,145,55.76,Pipe & Fitting Co,Engineering
ORG-2033,V-Ring Seal 30mm ID,188,0.89,Valve World Inc,Operations
PMP-1892,Peristaltic Pump 3in 20HP,3,4117.60,SKF Global,Maintenance
ORG-2030,V-Ring Seal 15mm ID,43,1.93,Valve World Inc,Maintenance
PRS-1707,Level Transmitter 2in line,5,365.78,National Bolt & Nut,Utilities
PRS-1709,Pressure Transmitter 0-100psi,22,428.62,Pipe & Fitting Co,Utilities
BRG-1012,Tapered Roller Bearing 6310,317,92.02,Pipe & Fitting Co,Operations
BLT-1119,Socket Head Cap Screw 3/4x4in,152,1.30,Pipe & Fitting Co,Engineering
MTR-1824,Electric Motor 3Phase 5HP,10,2371.88,Timken Industrial,Safety
MTR-1824,Electric Motor 3Phase 5HP,10,2371.88,Timken Industrial,Safety
VLV-1610,Diaphragm Valve 1in,13,693.35,Electrical Supply House,Warehouse
BRG-1013,TAPERED ROLLER BEARING 30206,213,59.01,Pipe & Fitting Co,Operations
WSH-1356,Wave Washer 1/2in,8958,0.84,Pipe & Fitting Co,Quality
PIP-1417,Carbon Steel Pipe SCH80 3/4in x 6m,41,191.25,Valve World Inc,Safety
BLT-1131,Flange Bolt M8x30,3171,6.87,Valve World Inc,Operations
NUT-1225,Flange Nut M20,4049,2.28,National Bolt & Nut,Production
BRG-1067,Pillow Block Bearing NU210,156,117.69,SKF Global,Quality
NUT-1241,Wing Nut M8,2259,2.37,Electrical Supply House,Production
LUB-1969,Compressor Oil 400g,3,107.30,Timken Industrial,Maintenance
ELB-1502,Reducing Elbow 4in,132,20.77,Pipe & Fitting Co,Quality
HSE-1745,Hydraulic Fitting 1/2in,37,106.53,Timken Industrial,Safety
ELB-1491,Street Elbow 90deg 1.5in,39,56.92,Valve World Inc,Engineering
MTR-1823,Electric Motor 3Phase 3HP,5,3284.75,SKF Global,Maintenance
MTR-1823,Electric Motor 3Phase 3HP,5,3284.75,SKF Global,Maintenance
SLV-1912,shaft sleeve 80mm,15,21.62,Timken Industrial,Maintenance
SLV-1910,Shaft Sleeve 60mm,5,50.96,Pipe & Fitting Co,Maintenance
MTR-1862,Explosion Proof Motor 2HP,5,1544.01,SKF Global,Warehouse
NUT-1235,Coupling Nut M20,6504,2.74,Valve World Inc,Utilities
FLT-1778,Oil Filter Element 5 Micron,21,140.70,Valve World Inc,Engineering
GSK-1637,Spiral Wound Gasket 8in 150#,147,6.24,Valve World Inc,Maintenance
MTR-1858,Stepper Motor 20HP,3,2713.36,Pump Solutions Ltd,Operations
BLT-1116,Socket Head Cap Screw M20x100,2674,2.57,Pump Solutions Ltd,Warehouse
BRG-1044,Thrust Ball Bearing 30208,328,84.35,Valve World Inc,Utilities
WSH-1323,Spring Washer M12,7156,1.00,Seal & Gasket Warehouse,Quality
ELB-1474,Elbow 45deg 1in,121,11.37,Seal & Gasket Warehouse,Operations
VLV-1571,Globe Valve 1.5in,29,680.55,SKF Global,Engineering
PRS-1700,Flow Meter 2in line,9,171.51,Pump Solutions Ltd,Engineering
WSH-1320,Spring Washer M6,7473,1.04,Pipe & Fitting Co,Engineering
BRG-1077,Self-Aligning Bearing NU210,241,12.97,Pump Solutions Ltd,Quality
SLV-1911,SHAFT SLEEVE 75MM,40,99.44,Seal & Gasket Warehouse,Operations
WLD-2115,MIG Wire ER70S-6 4.0mm x 5kg,24,36.12,Pipe & Fitting Co,Production
VLV-1612,  Diaphragm Valve 2in ,7,386.90,Seal & Gasket Warehouse,Utilities
LUB-1964,GEAR OIL 400G,6,213.56,Electrical Supply House,Quality
VLV-1552,Ball Valve Full Port 1/2in,37,321.64,Pipe & Fitting Co,Production
VLV-1552,Ball Valve Full Port 1/2in,37,321.64,Pipe & Fitting Co,Production
NUT-1241,wing nut m8,1682,2.37,Pump Solutions Ltd,Quality
NUT-1289,Acorn Nut 1in,3557,1.32,Valve World Inc,Warehouse
ORG-2012,O-Ring Silicone 75mm ID,340,12.42,Valve World Inc,Utilities
BRG-1023,  Angular Contact Bearing 30206 ,193,48.59,Seal & Gasket Warehouse,Quality
BLT-1169,Stud Bolt 3/4x4in,3463,6.80,National Bolt & Nut,Warehouse
PRS-1707,Level Transmitter 2in line,22,97.27,Electrical Supply House,Operations
FLG-1542,Threaded Flange 4in 300#,52,97.90,Seal & Gasket Warehouse,Production
WSH-1365,Tab Washer M20,6074,0.19,Timken Industrial,Quality
WSH-1365,Tab Washer M20,6074,0.19,Timken Industrial,Quality
SLV-1917,Shaft Coupling 50mm,10,202.97,Pump Solutions Ltd,Operations
BRG-1039,Spherical Roller Bearing UC205,437,78.00,Valve World Inc,Production
BLT-1103,Hex Bolt M10x50,4237,0.35,Seal & Gasket Warehouse,Utilities
PRS-1693,Temperature Gauge 2in line,2,249.31,Electrical Supply House,Production
MTR-1855,  Stepper Motor 7.5HP ,10,2129.56,Seal & Gasket Warehouse,Utilities
PMP-1890,peristaltic pump 2in 10hp,4,1713.15,Valve World Inc,Engineering
GSK-1639,Ring Joint Gasket 1in 150#,31,14.44,Valve World Inc,Quality
MTR-1869,Explosion Proof Motor 25HP,1,2887.56,Valve World Inc,Operations
LUB-1970,Compressor Oil 1kg,33,167.96,SKF Global,Quality
WSH-1301,Flat Washer M8,8552,1.33,Seal & Gasket Warehouse,Engineering
PIP-1400,Steel Pipe SCH40 1/2in x 6m,176,264.96,Seal & Gasket Warehouse,Production
ELB-1477,Elbow 45deg 3in,52,37.23,Pump Solutions Ltd,Production
GSK-1680,Metal Jacketed Gasket 2in 300#,18,44.24,National Bolt & Nut,Engineering
FLG-1551,Lap Joint Flange 6in 300#,100,141.21,National Bolt & Nut,Safety
ORG-2025,Lip Seal 30mm ID,197,7.96,Valve World Inc,Quality
BLT-1121,Carriage Bolt M8x30,3214,3.55,Electrical Supply House,Quality
VLV-1626,SOLENOID VALVE 1IN,38,223.01,National Bolt & Nut,Engineering
ELB-1492,Street Elbow 90deg 2in,90,68.11,Seal & Gasket Warehouse,Safety
FLT-1804,WATER FILTER CARTRIDGE 25 MICRON,48,97.31,SKF Global,Engineering
WSH-1335,BELLEVILLE WASHER M20,5654,0.59,Pipe & Fitting Co,Quality
VLV-1579,Check Valve Swing 1.5in,11,144.80,Valve World Inc,Utilities
PIP-1401,Steel Pipe SCH40 3/4in x 6m,105,167.22,SKF Global,Engineering
FLG-1507,weld neck flange 4in 150#,27,234.65,Seal & Gasket Warehouse,Quality
FLT-1778,  Oil Filter Element 5 Micron ,62,88.52,National Bolt & Nut,Maintenance
HSE-1774,Quick Disconnect Coupling 1in x 5m,27,491.94,Electrical Supply House,Utilities
HSE-1774,Quick Disconnect Coupling 1in x 5m,27,491.94,Electrical Supply House,Utilities
SLV-1916,Shaft Coupling 40mm,35,22.16,Timken Industrial,Maintenance
FLT-1798,Fuel Filter 25 Micron,48,170.35,Valve World Inc,Engineering
FLT-1816,Strainer Basket 25 Micron,63,33.98,Electrical Supply House,Production
FLG-1511,Weld Neck Flange 6in 300#,15,131.96,Valve World Inc,Warehouse
BLT-1100,Hex Bolt M6x20,1503,1.96,Pipe & Fitting Co,Engineering
BLT-1182,Structural Bolt M10x40,3239,1.43,Pump Solutions Ltd,Maintenance
NUT-1271,Weld Nut M8,2748,2.68,Valve World Inc,Utilities
WLD-2124,TIG Rod ER308L 1.2mm x 15kg,81,54.59,Valve World Inc,Utilities
NUT-1232,Coupling Nut M10,5842,1.62,Valve World Inc,Operations
GSK-1642,  Ring Joint Gasket 4in 150# ,197,19.42,Valve World Inc,Quality
ELC-2096,Push Button Switch 32A,19,312.95,Timken Industrial,Safety
FLT-1780,  Oil Filter Element 25 Micron ,29,83.98,Timken Industrial,Operations
GSK-1657,Rubber Gasket 6in 150#,116,32.83,National Bolt & Nut,Quality
BLT-1134,Flange Bolt M12x60,2905,2.90,Electrical Supply House,Quality
PMP-1896,Screw Pump 2in 10HP,3,6625.08,Seal & Gasket Warehouse,Quality
BRG-1016,Tapered Roller Bearing 22210,445,90.12,Electrical Supply House,Quality
GSK-1655,Rubber Gasket 3in 150#,199,51.90,National Bolt & Nut,Quality
FLT-1812,Bag Filter 100 Micron,33,172.40,SKF Global,Warehouse
LUB-1961,Hydraulic Oil 5L,23,391.93,SKF Global,Maintenance
NUT-1228,Flange Nut 3/4in,7067,1.11,National Bolt & Nut,Production
FLG-1535,Socket Weld Flange 6in 300#,51,211.04,Pump Solutions Ltd,Production
ORG-2031,V-Ring Seal 20mm ID,91,30.53,Pump Solutions Ltd,Operations
FLG-1531,Socket Weld Flange 4in 150#,21,156.90,Valve World Inc,Quality
BLT-1124,Carriage Bolt M12x60,1235,2.99,Valve World Inc,Operations
GSK-1659,Rubber Gasket 2in 300#,104,63.35,Pump Solutions Ltd,Utilities
WLD-2130,Flux Core Wire E71T-1 1.2mm x 15kg,18,103.56,Pump Solutions Ltd,Production
WLD-2125,Flux Core Wire E71T-1 2.5mm x 5kg,97,60.55,Pipe & Fitting Co,Production
NUT-1267,Cage Nut 5/8in,5159,0.75,Electrical Supply House,Engineering
PMP-1891,Peristaltic Pump 2in 15HP,5,5717.76,SKF Global,Engineering
PIP-1440,  CPVC Pipe 1/2in x 6m ,81,20.88,National Bolt & Nut,Utilities
LUB-1964,Gear Oil 400g,30,319.94,SKF Global,Safety
NUT-1203,Hex Nut M12,3330,0.21,SKF Global,Engineering
HSE-1759,Hydraulic Pump 1/4in,9,336.40,Electrical Supply House,Operations
FLT-1793,  Hydraulic Filter Element 50 Micron ,99,92.57,Seal & Gasket Warehouse,Engineering
NUT-1280,Acorn Nut M6,2269,2.16,Seal & Gasket Warehouse,Operations
VLV-1626,Solenoid Valve 1in,12,620.08,Seal & Gasket Warehouse,Production
BRG-1051,Needle Roller Bearing 6208,279,33.49,Pipe & Fitting Co,Maintenance
MTR-1849,servo motor 25hp,7,1448.30,Seal & Gasket Warehouse,Safety
MTR-1849,servo motor 25hp,7,1448.30,Seal & Gasket Warehouse,Safety
BLT-1148,Eye Bolt 5/8x3in,3511,5.23,Pipe & Fitting Co,Operations
NUT-1215,lock nut nylon insert m20,6246,2.12,Valve World Inc,Warehouse
NUT-1285,Acorn Nut M20,2575,0.24,Electrical Supply House,Safety
HSE-1769,Hydraulic Filter 1/2in,5,387.68,Valve World Inc,Quality
FLT-1789,Air Filter Element 1 Micron,15,80.54,Pump Solutions Ltd,Quality
BLT-1178,Anchor Bolt 5/8x3in,2029,5.55,Pipe & Fitting Co,Quality
MTR-1827,Electric Motor 3Phase 15HP,2,2591.45,Pipe & Fitting Co,Safety
VLV-1574,Globe Valve 4in,11,416.57,SKF Global,Utilities
PIP-1423,CARBON STEEL PIPE SCH80 6IN X 6M,49,135.86,SKF Global,Operations
PMP-1884,Gear Pump 2in 10HP,2,3851.99,Pipe & Fitting Co,Operations
HSE-1733,Hydraulic Hose 3/4in x 3m,18,543.73,Pipe & Fitting Co,Safety
ORG-2026,Lip Seal 40mm ID,192,30.43,Seal & Gasket Warehouse,Operations
LUB-1987,PENETRATING OIL 20L,19,436.93,Seal & Gasket Warehouse,Production
NUT-1282,Acorn Nut M10,7635,0.49,Seal & Gasket Warehouse,Utilities
BLT-1134,Flange Bolt M12x60,3548,6.68,Valve World Inc,Warehouse
VLV-1553,Ball Valve Full Port 3/4in,11,278.57,Timken Industrial,Utilities
NUT-1278,Weld Nut 3/4in,743,2.37,SKF Global,Engineering
HSE-1760,  Hydraulic Pump 3/8in ,9,399.28,Electrical Supply House,Operations
ELC-2100,Push Button Switch 160A,41,14.30,Timken Industrial,Maintenance
WSH-1347,Fender Washer 5/8in,3818,0.08,SKF Global,Utilities
BRG-1060,Pillow Block Bearing 6205,362,52.22,Timken Industrial,Operations
GSK-1668,Kammprofile Gasket 2in 150#,85,23.91,National Bolt & Nut,Maintenance
MTR-1861,explosion proof motor 1hp,7,1540.70,Timken Industrial,Engineering
WLD-2121,tig rod er308l 4.0mm x 5kg,23,47.74,Pipe & Fitting Co,Utilities
WSH-1301,Flat Washer M8,1662,0.12,Seal & Gasket Warehouse,Utilities
PRS-1724,RTD Sensor PT100 0-200psi,3,406.44,SKF Global,Maintenance
ELC-2057,Overload Relay 40A,26,131.71,Pipe & Fitting Co,Engineering
ELC-2054,Overload Relay 16A,36,124.10,Electrical Supply House,Quality
PIP-1433,PVC Pipe SCH40 3/4in x 6m,8,315.10,National Bolt & Nut,Quality
PMP-1903,Booster Pump 2in 15HP,1,5625.53,SKF Global,Safety
PIP-1452,Copper Tube Type L 2in x 6m,139,295.04,National Bolt & Nut,Maintenance
GSK-1638,Spiral Wound Gasket 2in 300#,152,12.43,Electrical Supply House,Production
GSK-1638,Spiral Wound Gasket 2in 300#,152,12.43,Electrical Supply House,Production
VLV-1559,Ball Valve Full Port 6in,16,259.89,National Bolt & Nut,Quality
WSH-1352,Wave Washer M10,4718,1.64,Pump Solutions Ltd,Utilities
PRS-1705,Level Transmitter 0-150C,24,246.89,Timken Industrial,Maintenance
SLV-1952,Mechanical Seal 80mm,12,302.83,Timken Industrial,Utilities
BLT-1152,U-Bolt M10x40,716,7.59,National Bolt & Nut,Safety
HSE-1765,Hydraulic Filter 3/4in x 3m,38,418.88,Pipe & Fitting Co,Maintenance
WLD-2112,Welding Rod E7018 1.2mm x 15kg,39,103.47,Pipe & Fitting Co,Operations
MTR-1848,Servo Motor 20HP,3,1508.89,National Bolt & Nut,Quality
NUT-1204,Hex Nut M16,4350,2.28,Pump Solutions Ltd,Safety
VLV-1557,Ball Valve Full Port 3in,15,738.03,Timken Industrial,Maintenance
FLG-1516,Slip-On Flange 6in 150#,24,264.10,Pipe & Fitting Co,Engineering
VLV-1575,Globe Valve 6in,4,68.28,Electrical Supply House,Engineering
VLV-1575,Globe Valve 6in,4,68.28,Electrical Supply House,Engineering
FLG-1516,slip-on flange 6in 150#,56,177.73,SKF Global,Production
ELB-1499,Reducing Elbow 1.5in,97,43.92,Pump Solutions Ltd,Operations
BLT-1104,Hex Bolt M12x60,1865,4.18,Electrical Supply House,Maintenance
MTR-1850,  Stepper Motor 0.5HP ,3,3324.66,Timken Industrial,Warehouse
PIP-1418,CARBON STEEL PIPE SCH80 1IN X 6M,152,251.77,Pipe & Fitting Co,Utilities
PIP-1454,Copper Tube Type L 4in x 6m,132,286.69,Valve World Inc,Operations
NUT-1205,Hex Nut M20,6231,1.21,Seal & Gasket Warehouse,Safety
PIP-1459,CHROME MOLY PIPE 1.5IN X 6M,110,270.74,Pipe & Fitting Co,Maintenance
ELB-1477,elbow 45deg 3in,25,65.69,SKF Global,Warehouse
ELB-1477,elbow 45deg 3in,25,65.69,SKF Global,Warehouse
WSH-1357,Wave Washer 5/8in,3472,0.86,Seal & Gasket Warehouse,Quality
BRG-1075,Self-Aligning Bearing 7208,488,16.77,Pump Solutions Ltd,Quality
MTR-1869,Explosion Proof Motor 25HP,4,2718.50,Seal & Gasket Warehouse,Utilities
FLG-1526,Blind Flange 4in 300#,14,73.47,Valve World Inc,Safety
ORG-2036,V-Ring Seal 75mm ID,46,33.03,Seal & Gasket Warehouse,Quality
BLT-1185,Structural Bolt M16x80,4874,0.56,Valve World Inc,Maintenance
VLV-1622,Relief Valve 4in,14,329.49,Pump Solutions Ltd,Operations
ELB-1469,Elbow 90deg 3in,161,73.69,Electrical Supply House,Utilities
BLT-1152,U-Bolt M10x40,687,1.75,Pump Solutions Ltd,Production
WSH-1354,WAVE WASHER M16,2959,0.38,Seal & Gasket Warehouse,Engineering
PMP-1896,Screw Pump 2in 10HP,4,4660.75,Valve World Inc,Warehouse
WSH-1360,Tab Washer M6,8943,1.34,Timken Industrial,Maintenance
HSE-1742,Hydraulic Fitting 1in x 5m,24,127.78,Timken Industrial,Engineering
HSE-1742,Hydraulic Fitting 1in x 5m,24,127.78,Timken Industrial,Engineering
BRG-1026,Angular Contact Bearing 22210,216,8.34,Valve World Inc,Safety
ELC-2085,Junction Box 10A,8,320.13,Electrical Supply House,Engineering
WSH-1316,Lock Washer 1/2in,943,0.06,Seal & Gasket Warehouse,Utilities
BLT-1197,Lag Bolt 1/2x2in,4042,5.12,Timken Industrial,Maintenance
VLV-1561,Gate Valve 3/4in,49,155.22,Pipe & Fitting Co,Maintenance
NUT-1212,Lock Nut Nylon Insert M10,9056,1.20,Valve World Inc,Quality
PRS-1701,Flow Meter 4in line,23,151.14,Timken Industrial,Engineering
VLV-1607,Plug Valve 6in,46,53.68,Valve World Inc,Safety
ELB-1488,Street Elbow 90deg 1/2in,77,54.76,Timken Industrial,Operations
BLT-1120,Carriage Bolt M6x20,1639,7.80,Seal & Gasket Warehouse,Warehouse
BRG-1076,Self-Aligning Bearing 22210,209,71.28,Electrical Supply House,Maintenance
ORG-2032,V-Ring Seal 25mm ID,397,1.83,Timken Industrial,Utilities
NUT-1257,Castle Nut 5/8in,3482,0.70,Timken Industrial,Quality
SLV-1918,Shaft Coupling 60mm,19,261.59,Valve World Inc,Safety
VLV-1588,Butterfly Valve 2in,28,742.89,Pipe & Fitting Co,Quality
BRG-1047,Thrust Ball Bearing NU210,138,57.56,SKF Global,Warehouse
PRS-1697,Flow Meter 0-500psi,12,48.73,SKF Global,Production
BLT-1129,carriage bolt 3/4x4in,2315,7.31,Valve World Inc,Utilities
NUT-1252,Castle Nut M10,1680,0.37,Timken Industrial,Quality
GSK-1673,  Kammprofile Gasket 2in 300# ,108,54.21,Seal & Gasket Warehouse,Operations
BLT-1100,Hex Bolt M6x20,4759,3.66,Electrical Supply House,Warehouse
PIP-1408,SS PIPE SCH10 1/2IN X 6M,151,272.20,Pipe & Fitting Co,Quality
ELC-2038,Circuit Breaker 16A,24,353.44,Seal & Gasket Warehouse,Maintenance
FLG-1537,  Threaded Flange 2in 150# ,98,156.63,National Bolt & Nut,Engineering
WSH-1364,Tab Washer M16,7988,1.58,SKF Global,Engineering
LUB-1969,Compressor Oil 400g,28,48.14,Pump Solutions Ltd,Quality
NUT-1264,Cage Nut M16,921,0.51,Timken Industrial,Production
GSK-1632,Spiral Wound Gasket 1in 150#,127,27.57,Timken Industrial,Utilities
WSH-1331,  Belleville Washer M8 ,3072,1.24,National Bolt & Nut,Warehouse
BLT-1127,Carriage Bolt 1/2x2in,1679,2.28,Valve World Inc,Maintenance
